author,local_guide_info,rating,review,date_text,text_backup
Trina Patiño,Local Guide · 21 avis · 66 photos,4 étoiles,J'adore venir ici. Une expérience typiquement parisienne. Le chocolat chaud avec crème c’est la spécialité. Je recommande le croque-monsieur et la salade d'artichauts. Quartier magnifique.,il y a un mois,"Trina Patiño
Local Guide · 21 avis · 66 photos






il y a un mois
J'adore venir ici. Une expérience typiquement parisienne. Le chocolat chaud avec crème c’est la spécialité. Je recommande le croque-monsieur et la salade d'artichauts. Quartier magnifique.
Type de repas
Déjeuner
Prix par personne
50–60 €
Cuisine : 4
Service : 5
Ambiance : 5
Taille de groupe
2 personnes, 3-4 personnes
Temps d’attente
Aucune attente
Visité en janvier
+ 3

J'aime

Partager"
Selen Demir,Local Guide · 475 avis · 4 284 photos,4 étoiles,"Je suis allée dans ce café vers 16h. Il y avait pas mal de monde, aussi bien en terrasse qu’à l’intérieur. J’ai attendu environ cinq minutes à l’entrée avant que le personnel m’accueille et me trouve une place. J’étais installée dans la terrasse intérieure, un espace agréable. L’endroit est très prisé par les touristes, ce qui explique des prix assez élevés, j’ai payé 5,50€ pour un expresso. Le monsieur qui m’a accueilli et servi était très sympathique, et le personnel en général s’est montré réactif malgré l’affluence.",il y a 3 semaines,"Selen Demir
Local Guide · 475 avis · 4 284 photos






il y a 3 semaines
NOUVEAU
Je suis allée dans ce café vers 16h. Il y avait pas mal de monde, aussi bien en terrasse qu’à l’intérieur. J’ai attendu environ cinq minutes à l’entrée avant que le personnel m’accueille et me trouve une place. J’étais installée dans la terrasse intérieure, un espace agréable. L’endroit est très prisé par les touristes, ce qui explique des prix assez élevés, j’ai payé 5,50€ pour un expresso. Le monsieur qui m’a accueilli et servi était très sympathique, et le personnel en général s’est montré réactif malgré l’affluence.
Type de repas
Autre
Prix par personne
1–10 €
Cuisine : 4
Service : 4
Ambiance : 5
Niveau de bruit
Modéré
Temps d’attente
10 min maximum
Visité en janvier
+ 17

J'aime

Partager"
H H,Local Guide · 129 avis · 378 photos,3 étoiles,"Bar / snacking / restauration situé en plein coeur de Paris à Saint Germain.
Si le cadre est sympa et original, les prix pour un touriste lambda sont dissuasifs : 5€50 le café, 8€50 une limonade....etc.
Le service, le cadre et le personnel se paient c'est normal, mais le rapport qualité prix n'est pas au rdv pour moi.
Mais ce n'est que l'avis d'un touriste.",il y a 3 mois,"H H
Local Guide · 129 avis · 378 photos






il y a 3 mois
Bar / snacking / restauration situé en plein coeur de Paris à Saint Germain.
Si le cadre est sympa et original, les prix pour un touriste lambda sont dissuasifs : 5€50 le café, 8€50 une limonade....etc.
Le service, le cadre et le personnel se paient c'est normal, mais le rapport qualité prix n'est pas au rdv pour moi.
Mais ce n'est que l'avis d'un touriste.
Type de repas
Autre
Prix par personne
10–20 €
Service : 5
Ambiance : 3
Niveau de bruit
Modéré
Taille de groupe
Toutes les tailles de groupes
Place de parking
Stationnement difficile à trouver
Visité en novembre 2025
+ 3

J'aime

Partager"
Patricia Patpat,Local Guide · 16 avis · 111 photos,4 étoiles,"Le café de Flore, est un lieu mythique. Une ambiance très parisienne sur le boulevard Saint Germain des Prés. La cuisine est délicieuse. Moment agréable et convivial.
Le service impeccable.",il y a 4 mois,"Patricia Patpat
Local Guide · 16 avis · 111 photos






il y a 4 mois
Le café de Flore, est un lieu mythique. Une ambiance très parisienne sur le boulevard Saint Germain des Prés. La cuisine est délicieuse. Moment agréable et convivial.
Le service impeccable.
Type de repas
Autre
Prix par personne
20–30 €
Cuisine : 5
Service : 5
Ambiance : 4
Taille de groupe
5-8 personnes
Temps d’attente
Aucune attente
Visité en octobre 2025
+ 3

J'aime

Partager"
A Blume,12 avis · 10 photos,5 étoiles,"Wir haben 5 mal hier gefrühstückt und hatten immer sehr nette und hilfsbereite Servicekräfte an unserer Seite. Ein ruhiges Plätzchen findet sich eher unter der Woche❣️Herzlichen Dank
Nous avons pris le petit déjeuner ici 5 fois et avons toujours eu un personnel de service très gentil et serviable à nos côtés. Un endroit calme se trouve plutôt en semaine❣️Merci beaucoup",il y a 3 mois,"A Blume
12 avis · 10 photos






il y a 3 mois
Wir haben 5 mal hier gefrühstückt und hatten immer sehr nette und hilfsbereite Servicekräfte an unserer Seite. Ein ruhiges Plätzchen findet sich eher unter der Woche❣️Herzlichen Dank
Nous avons pris le petit déjeuner ici 5 fois et avons toujours eu un personnel de service très gentil et serviable à nos côtés. Un endroit calme se trouve plutôt en semaine❣️Merci beaucoup
Cuisine : 4
Service : 5
Ambiance : 4
Visité en novembre 2025

J'aime

Partager"
nathalie Pettini,4 avis,5 étoiles,nous étions un petit groupe d'amies en virée parisienne et voulions boire dans un lieu chargé d'histoire. nous avons été très bien accueilli par Vanessa la placeuse avec beaucoup d'humour (nous étions 10...)merci encore . Puis servi par Gael un serveur charmant efficace qui nous a permis d'apprécier cette pause chocolat spécialité de la maison. on a passé un bon moment. je recommande,il y a 2 semaines,"nathalie Pettini
4 avis






il y a 2 semaines
NOUVEAU
nous étions un petit groupe d'amies en virée parisienne et voulions boire dans un lieu chargé d'histoire. nous avons été très bien accueilli par Vanessa la placeuse avec beaucoup d'humour (nous étions 10...)merci encore . Puis servi par Gael un serveur charmant efficace qui nous a permis d'apprécier cette pause chocolat spécialité de la maison. on a passé un bon moment. je recommande
Type de repas
Autre
Prix par personne
1–10 €
Service : 5
Ambiance : 5
Taille de groupe
9 personnes ou plus
Temps d’attente
10 min maximum
Visité en février

J'aime

Partager"
Simon Lubarie,3 avis,5 étoiles,"Passage incontournable au Café de Flore ! L’endroit est mythique et chargé d’histoire, on s’y imprègne immédiatement de l’atmosphère parisienne. La terrasse est parfaite pour observer la vie du quartier, et l’intérieur a ce charme intemporel qui fait tout son prestige. Le service est professionnel et attentif, et les classiques sont toujours bien réalisés. Que ce soit pour un café, un brunch ou un verre en fin de journée, c’est une expérience parisienne à vivre au moins une fois.",il y a 3 semaines,"Simon Lubarie
3 avis






il y a 3 semaines
NOUVEAU
Passage incontournable au Café de Flore ! L’endroit est mythique et chargé d’histoire, on s’y imprègne immédiatement de l’atmosphère parisienne. La terrasse est parfaite pour observer la vie du quartier, et l’intérieur a ce charme intemporel qui fait tout son prestige. Le service est professionnel et attentif, et les classiques sont toujours bien réalisés. Que ce soit pour un café, un brunch ou un verre en fin de journée, c’est une expérience parisienne à vivre au moins une fois.
Cuisine : 5
Service : 5
Ambiance : 5
Visité en février

J'aime

Partager"
Sofian Benabdellah,2 avis,5 étoiles,"Au cœur de Paris, le Café de Flore est une véritable invitation au plaisir et à la gourmandise.
L’ambiance y est accueillante, chaleureuse et pleine de charme, idéale pour un moment hors du temps.
Que ce soit pour un café, un petit-déjeuner ou une pause gourmande, chaque bouchée est délicieuse et soigneusement préparée.
Un lieu mythique où l’on se sent bien, à recommander sans hésiter pour savourer Paris dans ce qu’il a de plus authentique ☕✨",il y a 3 semaines,"Sofian Benabdellah
2 avis






il y a 3 semaines
NOUVEAU
Au cœur de Paris, le Café de Flore est une véritable invitation au plaisir et à la gourmandise.
L’ambiance y est accueillante, chaleureuse et pleine de charme, idéale pour un moment hors du temps.
Que ce soit pour un café, un petit-déjeuner ou une pause gourmande, chaque bouchée est délicieuse et soigneusement préparée.
Un lieu mythique où l’on se sent bien, à recommander sans hésiter pour savourer Paris dans ce qu’il a de plus authentique ☕✨
Type de repas
Brunch
Cuisine : 5
Service : 5
Ambiance : 5
Visité en février

J'aime

Partager"
Guide Nomad,Local Guide · 148 avis · 542 photos,4 étoiles,"J'ai savouré chaque instant passé sur la terrasse du Café de Flore. Le service, attentionné et chaleureux, était loin d'être mécanique. J'ai particulièrement apprécié le soin apporté au dressage de la table, ces petits détails qui signent une grande maison. La fraîcheur des produits était indéniable, notamment dans la délicieuse tarte aux fraises, le chocolat chaud intense et la tisane à la camomille bio.",il y a 7 mois,"Guide Nomad
Local Guide · 148 avis · 542 photos






il y a 7 mois
J'ai savouré chaque instant passé sur la terrasse du Café de Flore. Le service, attentionné et chaleureux, était loin d'être mécanique. J'ai particulièrement apprécié le soin apporté au dressage de la table, ces petits détails qui signent une grande maison. La fraîcheur des produits était indéniable, notamment dans la délicieuse tarte aux fraises, le chocolat chaud intense et la tisane à la camomille bio.
Type de repas
Autre
Prix par personne
30–40 €
Cuisine : 4
Service : 5
Ambiance : 5
Taille de groupe
2 personnes, 3-4 personnes
Temps d’attente
Aucune attente
Options pour les végétariens
Salades
Place de parking
Stationnement difficile à trouver
Options de stationnement
Parking payant dans la rue
Adapté aux enfants
Non
Accessibilité en fauteuil
Oui
Visité en juin 2025
0:15
0:09
+ 2

1

Partager"
Salvador L,Local Guide · 93 avis · 22 photos,2 étoiles,"C’est toute la contradiction de notre société :
on paie pour revivre un fantasme ou fantôme.
On paie pour s’asseoir là où les poètes buvaient des cafés noirs, où les artistes se perdaient en discussions sans fin, où la bohème et l’impertinence formaient un bouillonnement vivant.
Aujourd’hui, chaque chaise est calibrée, chaque tasse facturée à prix d’or, chaque sourire poli mesure le rendement plutôt que la curiosité ou la liberté.
Quelle farce !

On paie pour le mythe, pour l’illusion d’une époque où la vie intellectuelle et créative régnait sur Saint-Germain-des-Prés avec trois fois rien.
Mais la réalité est froide, aseptisée, impersonnelle. L’art s’y respire comme un parfum de musée, la culture s’y contemple comme un objet de luxe.

Un petit café à 5,50 €, un soda américain à 9 €… et l’on se dit que la bohème a un prix, et que ce prix, c’est le grand capital.

Le Flore n’est plus un refuge, il est une vitrine : on y admire un passé mythique comme on admire un tableau encadré.
On y paie pour l’image, pour le prestige, pour le luxe tranquille et la photo sur les internets, mais jamais pour la vie et le lien humain.

Et dans cette contradiction, le charme de la Rive Gauche d’antan se transforme en ironie glaçante : ce que l’on cherchait à revivre n’existe plus, sinon derrière des vitrines glacées et des additions salées.

Make America Great Again !

Beaucoup doivent se marrer de la haut en nous voyant évoluer…",il y a un mois,"Salvador L
Local Guide · 93 avis · 22 photos






il y a un mois
C’est toute la contradiction de notre société :
on paie pour revivre un fantasme ou fantôme.
On paie pour s’asseoir là où les poètes buvaient des cafés noirs, où les artistes se perdaient en discussions sans fin, où la bohème et l’impertinence formaient un bouillonnement vivant.
Aujourd’hui, chaque chaise est calibrée, chaque tasse facturée à prix d’or, chaque sourire poli mesure le rendement plutôt que la curiosité ou la liberté.
Quelle farce !

On paie pour le mythe, pour l’illusion d’une époque où la vie intellectuelle et créative régnait sur Saint-Germain-des-Prés avec trois fois rien.
Mais la réalité est froide, aseptisée, impersonnelle. L’art s’y respire comme un parfum de musée, la culture s’y contemple comme un objet de luxe.

Un petit café à 5,50 €, un soda américain à 9 €… et l’on se dit que la bohème a un prix, et que ce prix, c’est le grand capital.

Le Flore n’est plus un refuge, il est une vitrine : on y admire un passé mythique comme on admire un tableau encadré.
On y paie pour l’image, pour le prestige, pour le luxe tranquille et la photo sur les internets, mais jamais pour la vie et le lien humain.

Et dans cette contradiction, le charme de la Rive Gauche d’antan se transforme en ironie glaçante : ce que l’on cherchait à revivre n’existe plus, sinon derrière des vitrines glacées et des additions salées.

Make America Great Again !

Beaucoup doivent se marrer de la haut en nous voyant évoluer…
Type de repas
Déjeuner
Prix par personne
60–70 €
Cuisine : 3
Service : 3
Ambiance : 3
Taille de groupe
2 personnes
Temps d’attente
1 heure ou plus
Visité en janvier

J'aime

Partager"
